"gene name" "logFC"	"P.Value"	"adj.P.Val"
"JPT2"	3.24222779514209	4.93721422600308e-06	7.6956961189496e-05
"TAF4"	2.44615476271617	4.95565301814197e-06	7.6956961189496e-05
"FAM110B"	2.44195013304776	4.99670552984068e-06	7.72196183089871e-05
"MEGF6"	2.83886176609562	5.09308104963472e-06	7.80921261490177e-05
"TMEM38A"	-2.446311232369	5.10198635984517e-06	7.80921261490177e-05
"SLC16A2"	2.56136707652787	5.12717617843799e-06	7.81039837848721e-05
"SLAIN2"	3.02184595070497	5.17855549082306e-06	7.8512791540962e-05
"MEX3C"	3.09053763816073	5.24029350200789e-06	7.88081113028408e-05
"FAIM2"	-2.69855846592127	5.26040825339897e-06	7.88081113028408e-05
"BHLHE40"	-3.06384636792765	5.27193992460392e-06	7.88081113028408e-05
"ERV3-1"	2.69537070690038	5.34102200950289e-06	7.94694391088361e-05
"POLR3D"	2.42981829303915	5.40850551565386e-06	8.01009682619292e-05
"CCDC85B"	-2.8052557479956	5.46870351777934e-06	8.06192744395212e-05
"SMC3"	3.29608411404276	5.56883188986997e-06	8.17187762187799e-05
"S100B"	-4.58382551011071	5.62832230380001e-06	8.19380666420728e-05
"ZNF518B"	3.06521325876491	5.63500302008628e-06	8.19380666420728e-05
"MICALL1"	2.97515810793	5.6768378717721e-06	8.2172870370131e-05
"MMP24"	3.09033611149455	5.71155346497032e-06	8.23029708758561e-05
"MFHAS1"	2.197482794864	5.74909120074349e-06	8.24723890187373e-05
"MAML1"	2.50185414619996	5.77967545354673e-06	8.25409900709643e-05
"MARCKS"	2.93268278901132	5.9179637143174e-06	8.41402929871172e-05
"TMEM97"	2.76570872830619	6.11157263065923e-06	8.65084993162782e-05
"ZNF528"	3.27871061095082	6.19696210276576e-06	8.73307566817078e-05
"PRMT2"	2.87811863953188	6.33801326746357e-06	8.83782623739338e-05
"LRP6"	2.8532824578479	6.36821587505845e-06	8.83782623739338e-05
"HEATR1"	3.38455474465183	6.36939197222814e-06	8.83782623739338e-05
"PTOV1-AS2"	2.93622175067444	6.38180012765824e-06	8.83782623739338e-05
"ARL10"	3.96085430800297	6.51899077380171e-06	8.95383352272837e-05
"GATAD2B"	2.47235746948121	6.52154801749206e-06	8.95383352272837e-05
"CAMSAP1"	2.63335339371905	6.62525409035528e-06	9.02614096898714e-05
"ZNF785"	2.55661572318266	6.64762342816591e-06	9.02614096898714e-05
"USP49"	3.41581727861288	6.68330254394855e-06	9.02614096898714e-05
"MBTD1"	3.63485010683419	6.68707536620804e-06	9.02614096898714e-05
"ELOA"	2.30011039815778	6.75694621772974e-06	9.0812930308714e-05
"MAPRE1"	2.83731611996405	6.78471095460539e-06	9.0812930308714e-05
"HNRNPA1P10"	3.07965346908472	6.84087368192198e-06	9.11078856497135e-05
"ZNRF1"	2.43082591735757	6.86370754660236e-06	9.11078856497135e-05
"MIDN"	2.84287383432283	6.95930291583846e-06	9.16551440059479e-05
"TUBB2B"	4.45724322318053	6.96223819738835e-06	9.16551440059479e-05
"PHKA2"	2.23209222845613	7.14400209943073e-06	9.35152540439654e-05
"RCOR1"	2.76910177576575	7.20844637623431e-06	9.35152540439654e-05
"ANO8"	2.46736846839139	7.21749141353209e-06	9.35152540439654e-05
"C2orf68"	3.03711677905816	7.22046506685197e-06	9.35152540439654e-05
"EFNB1"	3.60800955140346	7.33435951341303e-06	9.46073229169689e-05
"TMOD3"	3.25949386288021	7.72623078312367e-06	9.85451134334721e-05
"SGPL1"	2.54415135502243	7.73155714305952e-06	9.85451134334721e-05
